Official_Symbol_Interactor,Score,Essentiality
MED6,0.36,C
SMC2,0.36,C
MED8,0,NE
MED4,0,NE
MED11,1,E
MED7,0.25,C
SMC5,0,NE
RRP4,1,E
MCM2,1,E
ARP7,1,E
BIM1,1,E
SMC4,1,E
VAM3,1,E
NBP35,1,E
TFC3,1,E
PRP45,1,E
MTW1,1,E
CDC15,1,E
RFT1,1,E
MCM2,1,E
STU1,1,E
PRE7,1,E
BRN1,1,E
RER2,0.25,C
REB1,1,E
ALG14,1,E
SEC18,1,E
GRS1,1,E
TFC1,0.444444444,C
MEC1,1,E
SUP45,1,E
RIB7,1,E
CDC28,0.25,C
MED8,1,E
SRB6,1,E
TRS20,1,E
RIB5,1,E
NFS1,1,E
RRP7,1,E
KRR1,1,E
HMLALPHA2,1,E
RSC6,1,E
CTR86,1,E
WBP1,1,E
MMS21,1,E
MCM3,1,E
UTR5,1,E
PRE1,1,E
BIM1,0.25,C
SRB4,1,E
PUP3,1,E
RTT105,1,E
LCP5,1,E
BUR6,0.5625,C
BRR2,1,E
RPS20,1,E
BCD1,1,E
NCP1,0.25,C
MED6,1,E
RRP4,1,E
IPI1,1,E
NMD3,1,E
SPC97,1,E
GPI16,1,E
BET1,1,E
FAF1,1,E
NEO1,1,E
MMF1,1,E
SNP1,0.25,C
MOB1,1,E
RHO3,0.5625,C
STH1,1,E
MCM10,0.5625,C
DSN1,1,E
STS1,1,E
SQT1,1,E
RAM2,1,E
TTI1,1,E
YJU2,1,E
UTP11,1,E
RRN3,1,E
RPT1,1,E
SRP102,0.64,C
MCD4,1,E
TPK3,0.25,C
SNU114,1,E
MIA40,0.5625,C
LOS1,0.25,C
ECM9,1,E
RSC4,1,E
RPC37,1,E
LAS1,1,E
BET3,1,E
DRE2,1,E
TRZ1,1,E
RPF2,1,E
SEC4,1,E
RPN11,1,E
ECO1,1,E
SMC2,1,E
PRE4,1,E
MCD1,1,E
RPT2,1,E
CDC7,1,E
UBC9,1,E
SUB2,1,E
LUC7,1,E
SNU23,1,E
NSE4,1,E
RRP42,1,E
YFH1,0.444444444,C
RPC53,1,E
SAS10,1,E
GLE1,1,E
TIM22,1,E
KRS1,1,E
RPC11,1,E
RPS13,1,E
RLI1,0.5625,C
SEC1,1,E
CDC37,1,E
UBC1,0.444444444,C
CDC1,1,E
SLY1,1,E
RVB1,1,E
CAB5,1,E
RTN1,0.0625,C
TRS23,1,E
CIA1,1,E
NSE3,1,E
SRP101,0.444444444,C
BFR2,1,E
GPI11,1,E
RSC3,0.25,C
SRB7,1,E
UTP4,1,E
GPI8,1,E
FCF1,1,E
TFC6,1,E
ESF1,1,E
KEI1,1,E
FRQ1,1,E
RPT3,1,E
NCB2,0.5625,C
UTP5,1,E
RPB7,1,E
TRS120,1,E
RRP17,1,E
SYF1,1,E
GPI17,1,E
SPP41,1,E
TLG1,1,E
UGO1,0.111111111,C
TRS31,1,E
SEC20,1,E
LCD1,0.64,C
PSP1,0.25,C
SCL1,1,E
RNA15,1,E
RPT6,1,E
ALG2,1,E
MNP1,0.444444444,C
NBP35,1,E
LSG1,0.25,C
NAB2,1,E
CUP2,0.25,C
ROK1,1,E
ATG1,0.25,C
RPS26A,1,E
MCM6,1,E
VRG4,1,E
SWC4,1,E
TFG2,1,E
SEC9,1,E
TAM41,1,E
TFC4,1,E
VHT1,0.25,C
TOM20,0.16,C
VAS1,1,E
RRP46,1,E
NOP7,1,E
SPT6,1,E
UTP8,1,E
NAT2,1,E
PTI1,1,E
MTR3,1,E
TFG1,1,E
SKI6,0.64,C
YPP1,1,E
PUP2,1,E
PAU12,1,E
NOP9,1,E
MPS3,1,E
BET4,1,E
HCA4,1,E
TIM54,0.444444444,C
MTC1,0.25,C
TIM17,1,E
TPK1,0.444444444,C
ESS1,1,E
NNF1,1,E
SOF1,1,E
GPI13,1,E
NOC3,1,E
NSE1,1,E
TEN1,1,E
GAT3,0.111111111,C
SDO1,0.444444444,C
STU2,1,E
FCF2,1,E
SMC4,1,E
RPS31,1,E
EMG1,1,E
PWP1,1,E
CDC123,1,E
HSP60,0.64,C
DBP9,1,E
CDC25,1,E
SFH1,1,E
SGD1,1,E
UTP21,1,E
SEN1,1,E
SEC39,1,E
SPT5,1,E
NSE5,0.5625,C
RSE1,1,E
TEM1,1,E
PRE8,1,E
UTP14,1,E
RSC9,1,E
ERO1,1,E
TAP42,1,E
ARP9,0.25,C
MCM1,1,E
NUP116,1,E
ERB1,1,E
RNA14,1,E
MED11,1,E
RRB1,1,E
ERG29,0.5625,C
MSS11,0.25,C
TOM40,1,E
TRS130,1,E
RRP5,1,E
RNT1,1,E
PRP24,1,E
HSH155,1,E
HAS1,1,E
PRE5,1,E
RLP7,1,E
LST8,1,E
SIS1,0.444444444,C
ARK1,0.111111111,C
SPC98,1,E
TOM22,0.444444444,C
KRE33,1,E
NAM9,1,E
PGA2,1,E
RPC31,1,E
RIA1,1,E
RIO2,1,E
SSU72,1,E
CSL4,1,E
SUI1,1,E
KRI1,1,E
ZIM17,1,E
PFS2,1,E
RPC34,1,E
DBP6,1,E
TRM112,0.444444444,C
NOG2,1,E
ESF2,1,E
RPB11,1,E
RCL1,1,E
DIS3,0.444444444,C
SMC5,0.25,C
PRE6,1,E
RPS15,1,E
MED7,1,E
CDC33,1,E
NOP8,1,E
DBP5,1,E
NOB1,1,E
SGT1,1,E
VAM3,0.25,C
TFC7,1,E
RPT5,1,E
RIO1,1,E
PUP1,1,E
MED4,1,E
MGE1,1,E
ESA1,1,E
TRE2,0.25,C
RPT4,1,E
RRS1,1,E
HSH49,1,E
SCD5,1,E
RPA43,1,E
RPA190,1,E
PRE10,1,E
NDD1,1,E
TFC8,1,E
RRP12,1,E
ULP1,0.694444444,C
TIM50,1,E
GCR1,0.25,C
NOG1,1,E
TBF1,1,E
RPL5,1,E
NOP53,0.444444444,C
PRP46,1,E
NAB3,1,E
TPK2,0.25,C
SRP72,0.444444444,C
NSL1,1,E
RVB2,1,E
SRP68,0.444444444,C
YAH1,1,E
RPA135,1,E
MCM4,0.25,C
HTS1,1,E
ARP7,0.25,C
TIF5,1,E
TAH18,1,E
FHL1,0.16,C
MRD1,1,E
CLB5,0.111111111,C
NUT2,1,E
BET2,1,E
RPC82,1,E
ISD11,1,E
SIS1,0,NE
NOG1,1,E
TIM50,1,E
KRR1,1,E
MTR3,1,E
PRP45,1,E
RPB7,1,E
RIO2,1,E
BRR2,1,E
CIA1,1,E
CSL4,1,E
KRI1,1,E
DRE2,1,E
RRB1,1,E
NBP35,1,E
UBC9,1,E
PRP24,1,E
SUB2,1,E
SRP72,1,E
RPT5,1,E
GPI8,1,E
MGE1,1,E
SMC5,1,E
SOF1,1,E
RRP4,1,E
LSG1,1,E
NOG2,1,E
RPC34,1,E
MCM2,1,E
SRP68,1,E
TIM22,1,E
HAS1,1,E
MCM6,1,E
UTP21,1,E
RPS15,1,E
DIS3,1,E
SNP1,1,E
HSP60,1,E
TOM22,1,E
MCM3,1,E
DBP5,1,E
MED4,1,E
MED6,1,E
UTP4,1,E
RRP42,1,E
RPB11,1,E
RPT4,1,E
DBP6,1,E
ISD11,1,E
RPT1,1,E
SEC20,1,E
MCM4,1,E
MRD1,1,E
DBP9,1,E
SMC2,0,NE
DIS3,0,NE
LSG1,0,NE
NUP116,0,NE
KRR1,1,E
MTR3,1,E
ALG14,1,E
SIS1,1,E
PRP45,1,E
PRP46,1,E
SOF1,1,E
RRP4,1,E
MED8,1,E
RPT3,1,E
BET3,1,E
RIO2,1,E
BRR2,1,E
MED11,1,E
SMC4,1,E
TOM22,1,E
MCM3,1,E
ARK1,1,E
SPT5,1,E
NOG1,1,E
TOM40,1,E
SRP68,1,E
NAB2,1,E
TIM22,1,E
HAS1,1,E
CSL4,1,E
ESF2,1,E
TAP42,1,E
TIM50,1,E
NMD3,1,E
RRB1,1,E
FCF1,1,E
MED7,1,E
DRE2,1,E
KRI1,1,E
NBP35,1,E
UBC9,1,E
PRP24,1,E
RPT2,1,E
BET1,1,E
HSP60,1,E
ROK1,1,E
RPB7,1,E
GPI16,1,E
ERO1,1,E
MGE1,1,E
RRS1,1,E
GPI8,1,E
RPT5,1,E
SRP72,1,E
SUB2,1,E
TFG2,1,E
CIA1,1,E
MRD1,1,E
RIO1,1,E
PWP1,1,E
PFS2,1,E
DBP9,1,E
UTP11,1,E
RPT6,1,E
RPB11,1,E
RPT4,1,E
DBP6,1,E
ISD11,1,E
RPT1,1,E
MCM4,1,E
UTP4,1,E
RRP42,1,E
KRS1,1,E
MCM6,1,E
UTP21,1,E
RPS15,1,E
SNP1,1,E
RPN11,1,E
RRP5,1,E
SPT6,1,E
MCM2,1,E
RPC34,1,E
NOG2,1,E
RPL5,1,E
TIM17,1,E
DBP5,1,E
MED4,1,E
MED6,1,E
RCL1,1,E
SGT1,0,NE
RPN11,1,E
RPT4,1,E
RPT6,1,E
RPT2,1,E
RPT3,1,E
RPT5,1,E
